id,subfolder,target,construction
1995-2000_1,1995-2000,"[('viral',)]","[('> chi_case & > chi_conj & > chi_det & > pa_obl',)]"
1995-2000_2,1995-2000,"[('viral',)]","[('> chi_cc & > pa_conj',)]"
1995-2000_3,1995-2000,"[('viral',)]","[('> chi_conj & > pa_amod',)]"
1995-2000_4,1995-2000,"[('viral',)]","[('> chi_conj & > pa_amod',)]"
1995-2000_5,1995-2000,"[('viral',)]","[('> chi_conj & > pa_amod',)]"
1995-2000_6,1995-2000,"[('viral',)]","[('> chi_conj & > pa_amod',)]"
1995-2000_7,1995-2000,"[('viral',)]","[('> pa_advmod',)]"
1995-2000_8,1995-2000,"[('viral',)]","[('> pa_advmod',)]"
1995-2000_9,1995-2000,"[('viral',)]","[('> pa_advmod',)]"
1995-2000_10,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_11,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_12,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_13,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_14,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_15,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_16,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_17,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_18,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_19,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_20,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_21,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_22,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_23,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_24,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_25,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_26,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_27,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_28,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_29,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_30,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_31,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_32,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_33,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_34,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_35,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_36,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_37,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_38,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_39,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_40,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_41,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_42,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_43,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_44,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_45,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_46,1995-2000,"[('viral',)]","[('> pa_amod',)]"
1995-2000_47,1995-2000,"[('viral',)]","[('> pa_amod',)]"
2001-2005_1,2001-2005,"[('viral',)]","[('> chi_advmod & > pa_amod',)]"
2001-2005_2,2001-2005,"[('viral',)]","[('> chi_cc & > pa_conj',)]"
2001-2005_3,2001-2005,"[('viral',)]","[('> chi_cc & > pa_conj',)]"
2001-2005_4,2001-2005,"[('viral',)]","[('> pa_advmod',)]"
2001-2005_5,2001-2005,"[('viral',)]","[('> pa_amod',)]"
2001-2005_6,2001-2005,"[('viral',)]","[('> pa_amod',)]"
2001-2005_7,2001-2005,"[('viral',)]","[('> pa_amod',)]"
2001-2005_8,2001-2005,"[('viral',)]","[('> pa_amod',)]"
2001-2005_9,2001-2005,"[('viral',)]","[('> pa_amod',)]"
2001-2005_10,2001-2005,"[('viral',)]","[('> pa_amod',)]"
2001-2005_11,2001-2005,"[('viral',)]","[('> pa_amod',)]"
2001-2005_12,2001-2005,"[('viral',)]","[('> pa_amod',)]"
