id,subfolder,target,Number,Degree,Case,Gender,Variant
viral/deu_news_1995_1M-sentences.txt/5615020,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_1995_1M-sentences.txt/8050421,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_1995_1M-sentences.txt/9954933,1995-2000,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],[]
viral/deu_news_1995_1M-sentences.txt/10697085,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_1996_1M-sentences.txt/3064311,1995-2000,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]","[('Dat',)]",[],[]
viral/deu_news_1996_1M-sentences.txt/4106465,1995-2000,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_1996_1M-sentences.txt/12194428,1995-2000,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_1996_1M-sentences.txt/13150162,1995-2000,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_1996_1M-sentences.txt/17057573,1995-2000,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_1997_1M-sentences.txt/4524115,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_1997_1M-sentences.txt/5056473,1995-2000,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_1997_1M-sentences.txt/13412112,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_1997_1M-sentences.txt/15691014,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]","[('Gen',)]",[],[]
viral/deu_news_1997_1M-sentences.txt/16908801,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_1997_1M-sentences.txt/19802223,1995-2000,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_1998_1M-sentences.txt/5303362,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],"[('Gen',)]",[],[]
viral/deu_news_1998_1M-sentences.txt/12712893,1995-2000,"[('viral/ADJ',)]","[('Plur',)]",[],[],[],[]
viral/deu_news_1998_1M-sentences.txt/14232057,1995-2000,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
