id,subfolder,target,pa_amod
viral/deu_news_1995_1M-sentences.txt/3589715,1995-2000,"[('viral/ADJ',)]","[('Gen',)]"
viral/deu_news_1995_1M-sentences.txt/5615020,1995-2000,"[('viral/ADJ',)]","[('Pyrogene',)]"
viral/deu_news_1995_1M-sentences.txt/8050421,1995-2000,"[('viral/ADJ',)]","[('Systeme',)]"
viral/deu_news_1995_1M-sentences.txt/9954933,1995-2000,"[('viral/ADJ',)]","[('Gentransfers',)]"
viral/deu_news_1995_1M-sentences.txt/10697085,1995-2000,"[('viral/ADJ',)]","[('Infektionen',)]"
viral/deu_news_1996_1M-sentences.txt/3064311,1995-2000,"[('viral/ADJ',)]","[('Erbmaterial',)]"
viral/deu_news_1996_1M-sentences.txt/4106465,1995-2000,"[('viral/ADJ',)]","[('Kerneiweißes',)]"
viral/deu_news_1996_1M-sentences.txt/9502685,1995-2000,"[('viral/ADJ',)]","[('Infekte',)]"
viral/deu_news_1996_1M-sentences.txt/12194428,1995-2000,"[('viral/ADJ',)]","[('Protein',)]"
viral/deu_news_1996_1M-sentences.txt/13150162,1995-2000,"[('viral/ADJ',)]","[('Erbinformation',)]"
viral/deu_news_1996_1M-sentences.txt/15255121,1995-2000,"[('viral/ADJ',)]","[('Tumorentstehung',)]"
viral/deu_news_1996_1M-sentences.txt/17057573,1995-2000,"[('viral/ADJ',)]","[('Enzym',)]"
viral/deu_news_1996_1M-sentences.txt/18120235,1995-2000,"[('viral/ADJ',)]","[('Laryngitis',)]"
viral/deu_news_1996_1M-sentences.txt/21052100,1995-2000,"[('viral/ADJ',)]","[('Genfähren',)]"
viral/deu_news_1997_1M-sentences.txt/4524115,1995-2000,"[('viral/ADJ',)]","[('Waffen',)]"
viral/deu_news_1997_1M-sentences.txt/5056473,1995-2000,"[('viral/ADJ',)]","[('Substanz',)]"
viral/deu_news_1997_1M-sentences.txt/11996636,1995-2000,"[('viral/ADJ',)]","[('Infektionen',)]"
viral/deu_news_1997_1M-sentences.txt/13412112,1995-2000,"[('viral/ADJ',)]","[('Infektionen',)]"
viral/deu_news_1997_1M-sentences.txt/15691014,1995-2000,"[('viral/ADJ',)]","[('Fieber',)]"
viral/deu_news_1997_1M-sentences.txt/18715024,1995-2000,"[('viral/ADJ',)]","[('Kniffe',)]"
viral/deu_news_1997_1M-sentences.txt/19802223,1995-2000,"[('viral/ADJ',)]","[('Übeltäter',)]"
viral/deu_news_1998_1M-sentences.txt/1524439,1995-2000,"[('viral/ADJ',)]","[('DNA',)]"
viral/deu_news_1998_1M-sentences.txt/1817762,1995-2000,"[('viral/ADJ',)]","[('Infektion',)]"
viral/deu_news_1998_1M-sentences.txt/2182719,1995-2000,"[('viral/ADJ',)]","[('Herzerkrankungen',)]"
viral/deu_news_1998_1M-sentences.txt/5303362,1995-2000,"[('viral/ADJ',)]","[('Tierkrankheiten',)]"
viral/deu_news_1998_1M-sentences.txt/12712893,1995-2000,"[('viral/ADJ',)]","[('Erkrankungen',)]"
viral/deu_news_1998_1M-sentences.txt/14232057,1995-2000,"[('viral/ADJ',)]","[('Vektortransfer',)]"
viral/deu_news_1998_1M-sentences.txt/16364544,1995-2000,"[('viral/ADJ',)]","[('Genen',)]"
viral/deu_news_1998_1M-sentences.txt/19275385,1995-2000,"[('viral/ADJ',)]","[('Erreger',)]"
viral/deu_news_1998_1M-sentences.txt/20201169,1995-2000,"[('viral/ADJ',)]","[('Effekt',)]"
viral/deu_news_1999_1M-sentences.txt/1594055,1995-2000,"[('viral/ADJ',)]","[('Proteins',)]"
viral/deu_news_1999_1M-sentences.txt/3173962,1995-2000,"[('viral/ADJ',)]","[('Infekte',)]"
viral/deu_news_1999_1M-sentences.txt/3729842,1995-2000,"[('viral/ADJ',)]","[('Oberflächenmoleküle',)]"
viral/deu_news_1999_1M-sentences.txt/6933848,1995-2000,"[('viral/ADJ',)]","[('DNA',)]"
viral/deu_news_1999_1M-sentences.txt/7404422,1995-2000,"[('viral/ADJ',)]","[('Gene',)]"
viral/deu_news_1999_1M-sentences.txt/10895798,1995-2000,"[('viral/ADJ',)]","[('Proteinen',)]"
viral/deu_news_1999_1M-sentences.txt/13420633,1995-2000,"[('viral/ADJ',)]","[('Gene',)]"
viral/deu_news_1999_1M-sentences.txt/20304589,1995-2000,"[('viral/ADJ',)]","[('Gene',)]"
viral/deu_news_2000_1M-sentences.txt/7235552,1995-2000,"[('viral/ADJ',)]","[('Erbgut',)]"
viral/deu_news_2000_1M-sentences.txt/13598049,1995-2000,"[('viral/ADJ',)]","[('Übeltäter',)]"
viral/deu_news_2000_1M-sentences.txt/16067254,1995-2000,"[('viral/ADJ',)]","[('Genfähren',)]"
viral/deu_news_2000_1M-sentences.txt/18851215,1995-2000,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2001_1M-sentences.txt/1879332,2001-2005,"[('viral/ADJ',)]","[('Meningitis',)]"
viral/deu_news_2001_1M-sentences.txt/5785001,2001-2005,"[('viral/ADJ',)]","[('Effekt',)]"
viral/deu_news_2001_1M-sentences.txt/7584000,2001-2005,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2001_1M-sentences.txt/17819656,2001-2005,"[('viral/ADJ',)]","[('Eiweiße',)]"
viral/deu_news_2002_1M-sentences.txt/21229073,2001-2005,"[('viral/ADJ',)]","[('Erbsubstanz',)]"
viral/deu_news_2003_1M-sentences.txt/670116,2001-2005,"[('viral/ADJ',)]","[('Erbguts',)]"
viral/deu_news_2003_1M-sentences.txt/5672607,2001-2005,"[('viral/ADJ',)]","[('Giftstoffen',)]"
viral/deu_news_2003_1M-sentences.txt/10575363,2001-2005,"[('viral/ADJ',)]","[('Telekommunikation',)]"
viral/deu_news_2003_1M-sentences.txt/13092146,2001-2005,"[('viral/ADJ',)]","[('Infektionskrankheiten',)]"
viral/deu_news_2003_1M-sentences.txt/15649124,2001-2005,"[('viral/ADJ',)]","[('Genoms',)]"
viral/deu_news_2003_1M-sentences.txt/17193930,2001-2005,"[('viral/ADJ',)]","[('Enzym',)]"
viral/deu_news_2004_1M-sentences.txt/1313144,2001-2005,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2004_1M-sentences.txt/2288140,2001-2005,"[('viral/ADJ',)]","[('Infektionen',)]"
viral/deu_news_2004_1M-sentences.txt/4966661,2001-2005,"[('viral/ADJ',)]","[('Mischlinge',)]"
viral/deu_news_2004_1M-sentences.txt/5656397,2001-2005,"[('viral/ADJ',)]","[('Leberentzündung',)]"
viral/deu_news_2004_1M-sentences.txt/6723519,2001-2005,"[('viral/ADJ',)]","[('Meningitis',)]"
viral/deu_news_2004_1M-sentences.txt/16887708,2001-2005,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2005_1M-sentences.txt/1360316,2001-2005,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2005_1M-sentences.txt/4469061,2001-2005,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2005_1M-sentences.txt/4562996,2001-2005,"[('viral/ADJ',)]","[('Therapie',)]"
viral/deu_news_2005_1M-sentences.txt/8283451,2001-2005,"[('viral/ADJ',)]","[('Meningitis',)]"
viral/deu_news_2005_1M-sentences.txt/10489529,2001-2005,"[('viral/ADJ',)]","[('Meningitis',)]"
viral/deu_news_2005_1M-sentences.txt/11178315,2001-2005,"[('viral/ADJ',)]","[('Infektionsfitneß',)]"
viral/deu_news_2005_1M-sentences.txt/12282941,2001-2005,"[('viral/ADJ',)]","[('Impfstoff',)]"
viral/deu_news_2005_1M-sentences.txt/14361344,2001-2005,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2005_1M-sentences.txt/16665440,2001-2005,"[('viral/ADJ',)]","[('Erbsubstanz',)]"
viral/deu_news_2005_1M-sentences.txt/20599550,2001-2005,"[('viral/ADJ',)]","[('Erreger',)]"
viral/deu_news_2006_1M-sentences.txt/3679568,2006-2010,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2006_1M-sentences.txt/4409697,2006-2010,"[('viral/ADJ',)]","[('Werbung',)]"
viral/deu_news_2006_1M-sentences.txt/7419689,2006-2010,"[('viral/ADJ',)]","[('Werbekampagne',)]"
viral/deu_news_2006_1M-sentences.txt/7539382,2006-2010,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2006_1M-sentences.txt/9359505,2006-2010,"[('viral/ADJ',)]","[('Kampagnen',)]"
