,slot,period_1,period_2,measure,statistic,weighting,observed_statistic,null_mean,excess_over_null_mean,null_sd,null_q95,null_q99,p_value,n_permutations,significant_p_value_05,q_value_fdr,significant_fdr_05
0,Number,1995-2000,2001-2005,tvd,weighted_tvd,True,0.3666666666666667,0.11558441558441557,0.25108225108225113,0.08671304418221722,0.2833333333333333,0.3666666666666667,0.027552674230145867,616,True,0.31455969746083196,False
1,Degree,1995-2000,2001-2005,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,629,False,1.0,False
2,Case,1995-2000,2001-2005,tvd,weighted_tvd,True,0.4,0.3839735099337748,0.016026490066225196,0.16080071307015686,1.0,1.0,0.49074074074074076,755,False,1.0,False
3,Gender,1995-2000,2001-2005,tvd,weighted_tvd,True,0.25,0.28047839506172845,-0.030478395061728447,0.040182973443715464,0.33333333333333337,0.33333333333333337,1.0,432,False,1.0,False
4,Variant,1995-2000,2001-2005,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,742,False,1.0,False
5,Number,2001-2005,2006-2010,tvd,weighted_tvd,True,0.11944444444444444,0.08852373500260824,0.030920709441836197,0.0736114372567105,0.19999999999999998,0.3257777777777778,0.40654205607476634,213,False,1.0,False
6,Degree,2001-2005,2006-2010,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,215,False,1.0,False
7,Case,2001-2005,2006-2010,tvd,weighted_tvd,True,0.33333333333333337,0.34259259259259267,-0.0092592592592593,0.03831015706486728,0.47499999999999903,0.5,1.0,144,False,1.0,False
8,Gender,2001-2005,2006-2010,tvd,weighted_tvd,True,0.041666666666666644,0.2107843137254902,-0.16911764705882354,0.1453025502093863,0.33333333333333337,0.5616666666666662,1.0,153,False,1.0,False
9,Variant,2001-2005,2006-2010,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,162,False,1.0,False
10,Number,2006-2010,2011-2015,tvd,weighted_tvd,True,0.03854556803995002,0.05931160052152105,-0.02076603248157103,0.044834561475547076,0.15074906367041196,0.18757802746566793,0.584070796460177,451,False,1.0,False
11,Degree,2006-2010,2011-2015,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,291,False,1.0,False
12,Case,2006-2010,2011-2015,tvd,weighted_tvd,True,0.3333333333333333,0.21968190854870775,0.11365142478462556,0.12031512219812901,0.4166666666666667,0.5833333333333334,0.2222222222222222,503,False,1.0,False
13,Gender,2006-2010,2011-2015,tvd,weighted_tvd,True,0.15188172043010756,0.12712604260878302,0.02475567782132454,0.07473756343458662,0.28353494623655906,0.3104838709677419,0.317016317016317,428,False,1.0,False
14,Variant,2006-2010,2011-2015,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171,False,1.0,False
15,Number,2011-2015,2016-2020,tvd,weighted_tvd,True,0.0,0.050089698800868665,-0.050089698800868665,0.04038420281249079,0.1348314606741573,0.15730337078651682,1.0,476,False,1.0,False
16,Degree,2011-2015,2016-2020,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,323,False,1.0,False
17,Case,2011-2015,2016-2020,tvd,weighted_tvd,True,0.2196969696969697,0.22455841840868576,-0.004861448711716065,0.11689194038493393,0.39393939393939403,0.5681818181818182,0.5284697508896797,561,False,1.0,False
18,Gender,2011-2015,2016-2020,tvd,weighted_tvd,True,0.0170777988614801,0.15382317801672643,-0.13674537915524632,0.08581541313409141,0.2884250474383302,0.37326375711574916,1.0,648,False,1.0,False
19,Variant,2011-2015,2016-2020,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,196,False,1.0,False
20,Number,2016-2020,2021-2025,tvd,weighted_tvd,True,0.06442486460269983,0.05103353951278485,0.01339132508991498,0.03845314473896388,0.11987713200226335,0.156737531323256,0.36082474226804123,387,False,1.0,False
21,Degree,2016-2020,2021-2025,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,327,False,1.0,False
22,Case,2016-2020,2021-2025,tvd,weighted_tvd,True,0.047846889952153124,0.18794898108781707,-0.14010209113566396,0.10227639789389337,0.3827751196172249,0.49856459330143615,1.0,359,False,1.0,False
23,Gender,2016-2020,2021-2025,tvd,weighted_tvd,True,0.13071895424836602,0.14292283902713823,-0.012203884778772212,0.07917161386810104,0.2941176470588235,0.3485838779956427,0.5236842105263158,379,False,1.0,False
24,Variant,2016-2020,2021-2025,tvd,weighted_tvd,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,272,False,1.0,False
