,slot,period_1,period_2,measure,statistic,weighting,observed_statistic,null_mean,excess_over_null_mean,null_sd,null_q95,null_q99,p_value,n_permutations,significant_p_value_05,q_value_fdr,significant_fdr_05
0,pa_amod,1995-2000,2001-2005,tvd,weighted_tvd,True,0.23428571428571426,0.20102040816326527,0.03326530612244899,0.013145548402475785,0.22421428571428562,0.23142857142857137,0.00641025641025641,623,True,0.01829594017094017,True
1,pa_advmod,1995-2000,2001-2005,tvd,weighted_tvd,True,0.01,0.0077688888888888885,0.0022311111111111117,0.0015692238628132098,0.01,0.01,0.33155792276964047,750,False,1.0,False
2,chi_punct,1995-2000,2001-2005,tvd,weighted_tvd,True,0.02,0.007967615857063093,0.012032384142936907,0.0066415405305379795,0.02,0.02,0.17391304347826086,597,False,0.5535031847133757,False
3,chi_cc,1995-2000,2001-2005,tvd,weighted_tvd,True,0.005,0.004999999999999999,8.673617379884035e-19,8.686910287882589e-19,0.005,0.005,1.0,327,False,1.0,False
4,pa_conj,1995-2000,2001-2005,tvd,weighted_tvd,True,0.005,0.004999999999999999,8.673617379884035e-19,8.687461949556902e-19,0.005,0.005,1.0,314,False,1.0,False
5,pa_amod,2001-2005,2006-2010,tvd,weighted_tvd,True,0.20647058823529413,0.18217239370995922,0.02429819452533491,0.014100319229994994,0.2076029411764706,0.2187911764705883,0.06896551724137931,202,False,0.15747126436781608,False
6,pa_advmod,2001-2005,2006-2010,tvd,weighted_tvd,True,0.01,0.01,0.0,0.0,0.01,0.01,1.0,154,False,1.0,False
7,chi_cc,2001-2005,2006-2010,tvd,weighted_tvd,True,0.01,0.007583732057416269,0.0024162679425837313,0.0014903655778139154,0.01,0.01,0.27684964200477324,418,False,1.0,False
8,pa_conj,2001-2005,2006-2010,tvd,weighted_tvd,True,0.02,0.02,0.0,0.0,0.02,0.02,1.0,500,False,1.0,False
9,pa_amod,2006-2010,2011-2015,tvd,weighted_tvd,True,0.701931518876207,0.6087364860131503,0.09319503286305664,0.028957625875377285,0.6578577699736609,0.6710916008194321,0.002232142857142857,447,True,0.01829594017094017,True
10,chi_conj,2006-2010,2011-2015,tvd,weighted_tvd,True,0.02,0.019999999999999997,3.469446951953614e-18,3.477013911764729e-18,0.02,0.02,1.0,230,False,1.0,False
11,pa_advmod,2006-2010,2011-2015,tvd,weighted_tvd,True,0.043199999999999995,0.04454821428571428,-0.001348214285714286,0.004937946454000416,0.0552,0.057600000000000005,0.48444444444444446,224,False,1.0,False
12,chi_cc,2006-2010,2011-2015,tvd,weighted_tvd,True,0.02,0.008080636002271439,0.011919363997728562,0.006756191405667657,0.02,0.02,0.1870748299319728,587,False,1.0,False
13,pa_conj,2006-2010,2011-2015,tvd,weighted_tvd,True,0.019999999999999997,0.019999999999999993,3.469446951953614e-18,3.473584636133549e-18,0.019999999999999997,0.019999999999999997,1.0,420,False,1.0,False
14,chi_advcl,2006-2010,2011-2015,tvd,weighted_tvd,True,0.01,0.010000000000000002,-1.734723475976807e-18,1.736499946975834e-18,0.01,0.01,1.0,489,False,1.0,False
15,pa_amod,2011-2015,2016-2020,tvd,weighted_tvd,True,0.7014925373134329,0.6120449854933748,0.08944755182005804,0.0282352635974586,0.6641791044776119,0.6791044776119403,0.004,499,True,0.01829594017094017,True
16,chi_conj,2011-2015,2016-2020,tvd,weighted_tvd,True,0.05,0.045268620268620274,0.0047313797313797284,0.004132006821900547,0.05,0.05,0.42047531992687387,546,False,1.0,False
17,pa_advmod,2011-2015,2016-2020,tvd,weighted_tvd,True,0.20046875000000003,0.08828513198757765,0.11218361801242238,0.014928123694821804,0.11289062500000002,0.12578125,0.006172839506172839,161,True,0.07047325102880658,False
18,chi_punct,2011-2015,2016-2020,tvd,weighted_tvd,True,0.038,0.033480867346938774,0.004519132653061225,0.006965680603574511,0.045,0.051,0.3019108280254777,784,False,0.5535031847133757,False
19,chi_cc,2011-2015,2016-2020,tvd,weighted_tvd,True,0.013333333333333336,0.008511904761904762,0.004821428571428574,0.0050031959095625,0.013333333333333336,0.013333333333333336,0.5190839694656488,392,False,1.0,False
20,pa_conj,2011-2015,2016-2020,tvd,weighted_tvd,True,0.029999999999999995,0.027182058047493404,0.002817941952506592,0.0029984290396166255,0.029999999999999995,0.029999999999999995,0.531578947368421,379,False,1.0,False
21,chi_advmod,2011-2015,2016-2020,tvd,weighted_tvd,True,0.05333333333333334,0.050093299406276506,0.0032400339270568304,0.0051855921537699605,0.06,0.06000000000000001,0.39593908629441626,393,False,0.8306451612903225,False
22,pa_amod,2016-2020,2021-2025,tvd,weighted_tvd,True,0.6978315967333146,0.6011047808851244,0.0967268158481902,0.025656396401707814,0.6406857223317375,0.6629343846803717,0.005115089514066497,390,True,0.01829594017094017,True
23,chi_conj,2016-2020,2021-2025,tvd,weighted_tvd,True,0.04642857142857143,0.041918767507002797,0.004509803921568634,0.0036368866247156375,0.04642857142857143,0.049999999999999996,0.234375,255,False,1.0,False
24,pa_advmod,2016-2020,2021-2025,tvd,weighted_tvd,True,0.17012867647058827,0.14610072261663284,0.024027953853955425,0.029229618722073802,0.20100643382352942,0.2152564338235294,0.18900343642611683,290,False,1.0,False
25,chi_punct,2016-2020,2021-2025,tvd,weighted_tvd,True,0.032857142857142856,0.027712387280493585,0.005144755576649271,0.008321008355806705,0.04285714285714285,0.04714285714285713,0.26158940397350994,301,False,0.5535031847133757,False
26,chi_cc,2016-2020,2021-2025,tvd,weighted_tvd,True,0.015714285714285712,0.01125583566760037,0.004458450046685342,0.006981563516297046,0.025714285714285707,0.03,0.4201954397394137,306,False,1.0,False
27,pa_conj,2016-2020,2021-2025,tvd,weighted_tvd,True,0.04444444444444445,0.037682363804247464,0.006762080640196989,0.006139758317891763,0.05,0.05,0.20441988950276244,361,False,1.0,False
