id,miss/V,chi_nsubj|chi_obl:agent,chi_obj|chi_nsubj:pass
miss/mag_1919_493144_cleaned_part30.txt/5,['miss/V'],[],['connection/N']
miss/fic_1913_698_cleaned_part1103.txt/24,['miss/V'],[],['word/N']
miss/mag_1925_488307_cleaned_part25.txt/12,['miss/V'],['name/N'],[]
miss/fic_1911_5356_cleaned_part123.txt/28,['miss/V'],[],['platform/N']
miss/fic_1920_3482_cleaned_part136.txt/21,['miss/V'],[],['chance/N']
miss/fic_1918_380_cleaned_part353.txt/35,['miss/V'],['burro/N'],['drink/N']
miss/mag_1917_430749_cleaned_part157.txt/3,['miss/V'],[],['pickle/N']
miss/fic_1920_3319_cleaned_part1073.txt/21,['miss/V'],['one/P'],['tree/N']
miss/nf_1923_773816_cleaned_part107.txt/53,['miss/V'],['sense/N'],[]
miss/mag_1925_300407_cleaned_part3.txt/4,['miss/V'],[],['copy/N']
miss/fic_1919_13146_cleaned_part36.txt/28,['miss/V'],[],['way/N']
miss/fic_1914_2826_cleaned_part66.txt/7,['miss/V'],[],['much/J']
miss/fic_1921_4627_cleaned_part427.txt/39,['miss/V'],[],['something/N']
miss/fic_1921_483_cleaned_part104.txt/9,['miss/V'],['buddy/N'],['frank/N']
miss/nf_1921_751181_cleaned_part408.txt/71,['miss/V'],[],['much/J']
miss/fic_1914_145_cleaned_part958.txt/3,['miss/V'],[],['sparrow/N']
miss/fic_1917_1915_cleaned_part547.txt/61,['miss/V'],[],['joy/N']
miss/news_1922_688199_cleaned_part6.txt/6,['miss/V'],['smile/N'],[]
miss/news_1924_690890_cleaned_part1.txt/64,['miss/V'],['view/N'],['point/N']
miss/nf_1911_773872_cleaned_part206.txt/16,['miss/V'],[],['mark/N']
miss/fic_1917_13919_cleaned_part1078.txt/17,['miss/V'],[],['child/N']
miss/fic_1915_13907_cleaned_part56.txt/18,['miss/V'],['child/N'],[]
miss/fic_1910_3155_cleaned_part330.txt/102,['miss/V'],[],['visit/N']
miss/fic_1912_3500_cleaned_part601.txt/34,['miss/V'],['trail/N'],['connection/N']
miss/fic_1911_3479_cleaned_part305.txt/74,['miss/V'],[],"['breakin/N', 'heart/N']"
miss/fic_1914_14624_cleaned_part745.txt/13,['miss/V'],[],['something/N']
miss/fic_1922_2197_cleaned_part1531.txt/34,['miss/V'],['knife/N'],[]
miss/fic_1918_3785_cleaned_part114.txt/66,['miss/V'],[],['guess/N']
miss/mag_1922_432566_cleaned_part91.txt/176,['miss/V'],[],['night/N']
miss/fic_1921_2541_cleaned_part11.txt/28,['miss/V'],['one/P'],[]
miss/fic_1922_3087_cleaned_part7.txt/121,['miss/V'],['reader/N'],['some/D']
miss/fic_1919_3543_cleaned_part144.txt/23,['miss/V'],[],['train/N']
miss/fic_1922_2484_cleaned_part425.txt/28,['miss/V'],[],['anything/N']
miss/fic_1922_3170_cleaned_part287.txt/64,['miss/V'],['girl/N'],[]
miss/fic_1920_1158_cleaned_part134.txt/40,['miss/V'],['rydal/N'],['us/P']
miss/fic_1922_3477_cleaned_part458.txt/68,['miss/V'],[],['guess/N']
miss/fic_1921_2541_cleaned_part189.txt/21,['miss/V'],[],['lot/N']
miss/fic_1912_3500_cleaned_part1364.txt/5,['miss/V'],[],['trip/N']
miss/fic_1912_3500_cleaned_part755.txt/44,['miss/V'],[],['sign/N']
miss/fic_1914_2826_cleaned_part342.txt/32,['miss/V'],[],['mother/N']
miss/fic_1922_2484_cleaned_part118.txt/26,['miss/V'],['grandmother/N'],['rent/N']
miss/fic_1920_3788_cleaned_part159.txt/11,['miss/V'],[],['party/N']
miss/nf_1911_749852_cleaned_part357.txt/47,['miss/V'],['book/N'],[]
miss/mag_1921_430864_cleaned_part17.txt/94,['miss/V'],[],['joy/N']
miss/fic_1912_3558_cleaned_part726.txt/49,['miss/V'],[],['some/D']
miss/fic_1922_2326_cleaned_part861.txt/30,['miss/V'],[],['way/N']
miss/fic_1912_639_cleaned_part1213.txt/36,['miss/V'],['society/N'],[]
miss/mag_1915_430629_cleaned_part7.txt/4,['miss/V'],[],['truth/N']
miss/news_1929_696021_cleaned_part1.txt/27,['miss/V'],['wet/N'],['point/N']
miss/fic_1922_4863_cleaned_part27.txt/142,['miss/V'],[],['train/N']
miss/fic_1922_1836_cleaned_part704.txt/18,['miss/V'],[],['most/J']
miss/fic_1922_2524_cleaned_part1655.txt/69,['miss/V'],['ball/N'],[]
miss/fic_1922_2197_cleaned_part1639.txt/24,['miss/V'],[],['heart/N']
miss/fic_1910_1260_cleaned_part522.txt/45,['miss/V'],[],['train/N']
miss/fic_1916_3807_cleaned_part685.txt/73,['miss/V'],['drummer/N'],['train/N']
miss/fic_1911_1481_cleaned_part159.txt/75,['miss/V'],['leslie/N'],['book/N']
miss/mag_1917_430751_cleaned_part9.txt/55,['miss/V'],[],['despair/N']
miss/fic_1920_1913_cleaned_part1511.txt/67,['miss/V'],[],['opportunity/N']
miss/fic_1921_3086_cleaned_part763.txt/26,['miss/V'],[],['junket/N']
miss/fic_1921_3815_cleaned_part1715.txt/9,['miss/V'],[],['trail/N']
miss/fic_1911_3479_cleaned_part1223.txt/82,['miss/V'],[],['vee/N']
miss/nf_1919_772556_cleaned_part653.txt/55,['miss/V'],['one/P'],[]
miss/mag_1920_486125_cleaned_part7.txt/21,['miss/V'],[],['one-half/N']
miss/fic_1921_2435_cleaned_part297.txt/9,['miss/V'],[],['sound/N']
miss/fic_1920_4738_cleaned_part325.txt/69,['miss/V'],[],['nursery/N']
miss/fic_1928_14193_cleaned_part27.txt/2,['miss/V'],[],['annie/N']
miss/mag_1917_430770_cleaned_part26.txt/5,['miss/V'],[],['opportunity/N']
miss/mag_1923_457395_cleaned_part62.txt/6,['miss/V'],['paper/N'],['issue/N']
miss/nf_1913_773580_cleaned_part118.txt/26,['miss/V'],[],['secret/N']
miss/nf_1922_770713_cleaned_part287.txt/34,['miss/V'],['one/P'],[]
miss/fic_1922_3310_cleaned_part548.txt/4,['miss/V'],[],['many/J']
miss/fic_1918_3785_cleaned_part549.txt/83,['miss/V'],[],['girl/N']
miss/mag_1912_487137_cleaned_part25.txt/30,['miss/V'],[],['alchemy/N']
miss/mag_1926_220463_cleaned_part5.txt/51,['miss/V'],[],['head/N']
miss/fic_1922_2566_cleaned_part664.txt/102,['miss/V'],['countryman/N'],[]
miss/fic_1920_3348_cleaned_part1321.txt/23,['miss/V'],[],['pierre/N']
miss/fic_1919_1550_cleaned_part740.txt/33,['miss/V'],[],"['much/J', 'boy/N']"
miss/fic_1923_13942_cleaned_part611.txt/42,['miss/V'],[],['zero/C']
miss/mag_1928_300329_cleaned_part4.txt/29,['miss/V'],[],['collision/N']
miss/fic_1914_5125_cleaned_part306.txt/11,['miss/V'],[],['trail/N']
miss/mag_1923_493294_cleaned_part12.txt/71,['miss/V'],[],['opportunity/N']
miss/fic_1915_2993_cleaned_part1338.txt/26,['miss/V'],[],['visit/N']
miss/fic_1918_13333_cleaned_part549.txt/7,['miss/V'],[],['habit/N']
miss/fic_1922_3477_cleaned_part90.txt/60,['miss/V'],[],['one/N']
miss/fic_1914_13909_cleaned_part26.txt/30,['miss/V'],[],['part/N']
miss/fic_1918_3785_cleaned_part549.txt/67,['miss/V'],[],['lot/N']
miss/mag_1915_493037_cleaned_part25.txt/43,['miss/V'],['suffragist/N'],['personality/N']
miss/fic_1917_3499_cleaned_part703.txt/5,['miss/V'],['pity/N'],['defeat/N']
miss/fic_1912_1583_cleaned_part381.txt/6,['miss/V'],['boy/N'],['opportunity/N']
miss/fic_1912_14630_cleaned_part489.txt/31,['miss/V'],['nobody/N'],['feel/N']
miss/fic_1922_1833_cleaned_part254.txt/67,['miss/V'],[],['trail/N']
miss/fic_1922_5521_cleaned_part882.txt/37,['miss/V'],[],['camp/N']
miss/fic_1925_16214_cleaned_part81.txt/115,['miss/V'],['tooth/N'],[]
miss/mag_1918_434228_cleaned_part12.txt/120,['miss/V'],[],['fight/N']
miss/mag_1911_430492_cleaned_part62.txt/68,['miss/V'],['baby/N'],[]
miss/mag_1912_487101_cleaned_part7.txt/170,['miss/V'],[],['impression/N']
miss/mag_1928_490208_cleaned_part5.txt/19,['miss/V'],[],['square/N']
miss/fic_1912_1079_cleaned_part635.txt/61,['miss/V'],[],['lore/N']
miss/mag_1911_430486_cleaned_part41.txt/70,['miss/V'],[],['sign/N']
miss/mag_1922_486188_cleaned_part9.txt/29,['miss/V'],['explorer/N'],[]
miss/fic_1929_16406_cleaned_part538.txt/13,['miss/V'],[],['beat/N']
miss/fic_1918_3645_cleaned_part45.txt/67,['miss/V'],[],['anything/N']
miss/mag_1929_490231_cleaned_part31.txt/36,['miss/V'],[],['bell/N']
miss/fic_1921_4627_cleaned_part226.txt/27,['miss/V'],['guess/N'],['fire/N']
miss/fic_1919_3153_cleaned_part56.txt/84,['miss/V'],[],['hand/N']
miss/fic_1922_4863_cleaned_part74.txt/152,['miss/V'],[],['note/N']
miss/fic_1922_368_cleaned_part578.txt/31,['miss/V'],[],['us/P']
miss/fic_1913_4676_cleaned_part63.txt/35,['miss/V'],[],['boat/N']
miss/mag_1928_468475_cleaned_part65.txt/19,['miss/V'],['one/P'],['some/D']
miss/news_1923_689230_cleaned_part16.txt/22,['miss/V'],[],['event/N']
miss/fic_1914_2826_cleaned_part23.txt/23,['miss/V'],[],['vee/N']
miss/nf_1913_761343_cleaned_part495.txt/63,['miss/V'],['douglas/N'],['opportunity/N']
miss/nf_1917_749170_cleaned_part587.txt/67,['miss/V'],['boy/N'],[]
miss/news_1922_688336_cleaned_part2.txt/6,['miss/V'],['erie/N'],[]
